,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,0.0,1129.439941,0.0,0.0,underperform
1,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-25.196109193598996,1198.680054,6.130482063410562,-31.326591257009557,underperform
2,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-31.597113272670224,1184.630005,4.886498342810057,-36.483611615480285,underperform
3,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,8.72293693128333,1290.150024,14.229183612694632,-5.506246681411302,underperform
4,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,0.9727016002510157,1252.199951,10.869104725596026,-9.89640312534501,underperform
5,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-0.2196422968308763,1295.430054,14.696674606091323,-14.9163169029222,underperform
6,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,1.914025729526187,1459.680054,29.239280550642384,-27.325254821116197,underperform
7,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,8.628804518355809,1447.800049,28.187431349215924,-19.558626830860113,underperform
8,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,0.9099466582993272,1338.599976,18.518916093476445,-17.60896943517712,underperform
9,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,2.5415751490429828,1348.859985,19.427331727415858,-16.885756578372874,underperform
10,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-1.0668340131785372,1379.930054,22.17825879065488,-23.245092803833415,underperform
11,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-45.842485095701285,870.73999,-22.905153395845776,-22.93733169985551,underperform
12,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,27.988704110448694,1254.050049,11.03291139940303,16.955792711045664,outperform
13,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,18.4185754628177,1275.920044,12.969268898911718,5.4493065639059814,outperform
14,2013-05-14 00:28:58,1368505738.0,a,44.12,37.74,18.4185754628177,1650.339966,46.120205784364046,-27.701630321546347,underperform
15,2013-09-06 06:09:52,1378462192.0,a,56.39,37.74,18.4185754628177,1655.170044,46.54785827164225,-28.12928280882455,underperform
16,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0,underperform
17,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,-3.9988324576765835,1118.380005,-0.9792407368033841,-3.0195917208731995,underperform
18,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,-1.9848219497956794,1181.76001,4.6323905416056,-6.61721249140128,underperform
19,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,-4.086398131932278,1190.329956,5.391168913867899,-9.477567045800178,underperform
20,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,-14.098073555166371,1177.449951,4.250780254635953,-18.348853809802325,underperform
21,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,-14.27320490367775,1201.719971,6.399634666364247,-20.672839570041997,underperform
22,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,-19.87740805604203,1191.079956,5.457573507222014,-25.334981563264044,underperform
23,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,-15.061295971978975,1240.119995,9.799551971041895,-24.86084794302087,underperform
24,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,-8.172796263864557,1423.900024,26.07133609417837,-34.244132358042926,underperform
25,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,1.4302393461763048,1451.189941,28.48757054891509,-27.057331202738787,underperform
26,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,13.952130764740225,1514.140015,34.06113596969029,-20.109005204950066,underperform
27,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,17.746643315820215,1502.560059,33.03585294403891,-15.289209628218693,underperform
28,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,11.150029188558088,1554.410034,37.626621617766915,-26.47659242920883,underperform
29,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,-18.155283129013426,1338.599976,18.518916093476445,-36.674199222489875,underperform
30,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,-73.61354349095154,940.51001,-16.727753653967874,-56.88578983698367,underperform
31,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,-76.47402218330413,876.070007,-22.433236580571755,-54.04078560273237,underperform
32,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,-76.21132516053707,870.73999,-22.905153395845776,-53.3061717646913,underperform
33,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,-69.78984238178634,885.2800289999999,-21.617786226315168,-48.172056155471175,underperform
34,2011-09-03 09:21:23,1315056083.0,aa,48.26,12.04,-64.85697606538237,1218.890015,7.919861052620579,-72.77683711800294,underperform
35,2011-11-02 22:04:47,1320285887.0,aa,50.93,10.7,-68.76824284880327,1237.900024,9.602996942357994,-78.37123979116126,underperform
36,2011-11-05 21:29:24,1320542964.0,aa,50.93,10.93,-68.09690601284296,1237.900024,9.602996942357994,-77.69990295520095,underperform
37,2012-01-02 19:42:06,1325551326.0,aa,50.93,8.65,-74.75189725627554,1257.599976,11.347220011232087,-86.09911726750762,underperform
38,2012-03-09 07:34:06,1331296446.0,aa,54.5,8.65,-74.75189725627554,1370.869995,21.37608607910918,-96.12798333538473,underperform
39,2012-03-19 02:24:48,1332138288.0,aa,54.5,8.65,-74.75189725627554,1409.75,24.81850064128376,-99.5703978975593,underperform
40,2012-05-19 11:51:52,1337442712.0,aa,55.28,8.65,-74.75189725627554,1324.800049,17.297078039141155,-92.0489752954167,underperform
41,2012-07-29 16:51:57,1343595117.0,aa,56.42,8.65,-74.75189725627554,1360.02002,20.415435175406095,-95.16733243168164,underperform
42,2012-11-27 11:38:14,1354034294.0,aa,56.51,8.65,-74.75189725627554,1398.939941,23.86138387857845,-98.61328113485399,underperform
43,2013-01-22 17:52:37,1358895157.0,aa,53.49,8.65,-74.75189725627554,1492.560059,32.15045836598405,-106.90235562225959,underperform
44,2013-04-23 20:02:57,1366761777.0,aa,53.21,8.65,-74.75189725627554,1578.780029,39.78432776178932,-114.53622501806487,underperform
45,2013-04-26 20:55:15,1367024115.0,aa,53.21,8.65,-74.75189725627554,1582.23999,40.090670832757446,-114.842568089033,underperform
46,2013-09-01 04:25:11,1378023911.0,aa,52.71,8.65,-74.75189725627554,1638.170044,45.04268748894899,-119.79458474522454,underperform
47,2003-12-07 10:36:10,1070811370.0,aapl,0.072,20.85,0.0,1069.719971,0.0,0.0,underperform
48,2004-02-03 07:33:34,1075811614.0,aapl,0.07,22.32,7.05035971223021,1136.030029,6.198823972409507,0.8515357398207035,outperform
49,2004-06-03 01:20:38,1086240038.0,aapl,0.0,28.92,38.705035971223026,1116.640015,4.3861987503269635,34.318837220896064,outperform
50,2004-08-10 02:02:44,1092117764.0,aapl,0.0,30.3,45.32374100719424,1079.040039,0.8712624100387102,44.45247859715553,outperform
51,2004-10-12 05:40:57,1097574057.0,aapl,0.0,38.59,85.08393285371703,1121.839966,4.8723026972448675,80.21163015647217,outperform
52,2004-12-04 14:16:51,1102187811.0,aapl,0.0,62.68,200.62350119904076,1191.369995,11.372137316112614,189.25136388292816,outperform
53,2005-01-26 15:16:47,1106770607.0,aapl,0.0,71.94,245.03597122302153,1174.069946,9.754887057259594,235.28108416576194,outperform
54,2005-02-04 03:07:08,1107504428.0,aapl,0.0,77.81,273.18944844124695,1203.030029,12.46214538514959,260.72730305609736,outperform
55,2005-03-01 10:36:03,1109691363.0,aapl,0.0,44.86,115.15587529976017,1210.410034,13.152046032054496,102.00382926770567,outperform
56,2005-12-17 11:55:53,1134838553.0,aapl,0.0,71.11,241.05515587529976,1272.73999,18.978800480859682,222.07635539444007,outperform
57,2006-01-25 09:43:52,1138200232.0,aapl,0.0,76.04,264.70023980815347,1264.680054,18.22533824602214,246.47490156213132,outperform
58,2013-08-11 02:30:32,1376202632.0,aapl,13.75,76.04,264.70023980815347,1697.47998,58.6845180064419,206.01572180171158,outperform
59,2013-06-19 09:57:38,1371650258.0,abbv,512.61,76.04,0.0,1628.930054,0.0,0.0,underperform
60,2003-10-26 16:06:32,1067202392.0,abc,0.592,57.01,0.0,1033.77002,0.0,0.0,underperform
61,2004-01-28 07:37:34,1075293454.0,abc,0.429,56.36,-1.14015085072794,1128.47998,9.161608304330604,-10.301759155058544,underperform
62,2004-05-16 19:24:15,1084749855.0,abc,0.412,58.97,3.4379933345027203,1096.439941,6.062269149573535,-2.6242758150708143,underperform
63,2004-10-20 01:31:26,1098250286.0,abc,0.331,52.1,-8.612524118575683,1103.660034,6.760692673211792,-15.373216791787474,underperform
64,2005-01-08 07:45:42,1105188342.0,abc,0.332,57.9,1.5611296263813377,1183.73999,14.507092206059536,-12.945962579678199,underperform
65,2005-03-30 19:52:42,1112230362.0,abc,0.291,55.44,-2.753902824065954,1181.410034,14.281707840589156,-17.03561066465511,underperform
66,2005-05-26 01:50:44,1117086644.0,abc,0.23,65.93,15.646377828451167,1197.619995,15.849751088738294,-0.20337326028712788,underperform
67,2005-12-04 08:46:13,1133703973.0,abc,0.223,79.46,39.379056305911234,1264.670044,22.335724535714437,17.043331770196797,outperform
68,2007-02-20 06:12:02,1171969922.0,abc,0.308,54.9,-3.701105069286089,1459.680054,41.19968907591265,-44.90079414519874,underperform
69,2007-04-05 16:11:07,1175803867.0,abc,0.308,53.94,-5.385020171899668,1443.76001,39.659690459972914,-45.04471063187258,underperform
70,2008-01-23 20:34:05,1201138445.0,abc,0.396,45.55,-20.101736537449572,1338.599976,29.487211865555945,-49.58894840300552,underperform
71,2011-07-08 00:04:15,1310097855.0,abc,42.86,43.05,-24.486932117172426,1343.800049,29.99023216014719,-54.477164277319616,underperform
72,2012-02-28 18:01:38,1330470098.0,abc,66.41,43.05,-24.486932117172426,1372.180054,32.73552409654906,-57.222456213721486,underperform
73,2013-04-25 01:02:00,1366866120.0,abc,59.73,43.05,-24.486932117172426,1585.160034,53.33778338822401,-77.82471550539644,underperform
74,2004-09-20 13:31:02,1095701462.0,abt,0.543,42.92,0.0,1122.199951,0.0,0.0,underperform
75,2004-10-23 22:48:08,1098586088.0,abt,0.543,40.86,-4.7996272134203215,1103.660034,-1.6521045989601955,-3.147522614460126,underperform
76,2005-01-25 12:44:11,1106675051.0,abt,0.508,45.93,7.013047530288905,1168.410034,4.117811888943839,2.8952356413450655,outperform
77,2005-02-28 19:21:54,1109636514.0,abt,0.508,45.61,6.267474370922642,1203.599976,7.253611526846333,-0.9861371559236911,underperform
78,2006-06-17 18:01:01,1150581661.0,abt,0.436,42.78,-0.3261882572227413,1230.040039,9.609703502829676,-9.935891760052417,underperform
79,2006-07-18 12:32:14,1153240334.0,abt,0.436,44.48,3.63466915191052,1236.859985,10.217433524019107,-6.582764372108587,underperform
80,2007-01-13 21:19:42,1168741182.0,abt,0.604,50.45,17.544268406337373,1414.849976,26.078242539506213,-8.53397413316884,underperform
81,2007-03-23 02:47:40,1174632460.0,abt,0.883,54.5,26.980428704566627,1436.109985,27.972736384480555,-0.9923076799139281,underperform
82,2007-04-10 20:13:09,1176250389.0,abt,0.883,57.11,33.06150978564771,1448.390015,29.06701820021732,3.9944915854303886,outperform
83,2007-06-03 02:36:35,1180852595.0,abt,0.871,56.3,31.174277726001854,1530.619995,36.394587580943494,-5.22030985494164,underperform
84,2008-01-23 23:41:45,1201149705.0,abt,0.784,57.97,35.06523765144454,1338.599976,19.283553239078685,15.781684412365856,outperform
85,2008-04-28 03:46:55,1209368815.0,abt,0.687,51.28,19.478098788443614,1396.369995,24.43147887822354,-4.953380089779927,underperform
86,2008-10-23 21:57:42,1224813462.0,abt,0.732,55.02,28.191985088536814,908.1099849999999,-19.077702312250423,47.269687400787234,outperform
87,2008-12-25 05:30:56,1230201056.0,abt,0.546,52.65,22.67008387698042,871.6300050000001,-22.32845811272005,44.99854198970047,outperform
88,2011-08-05 04:11:33,1312531893.0,abt,76.17,48.77,13.630009319664497,1199.380005,6.877567044199588,6.752442275464909,outperform
89,2011-09-02 09:24:27,1314969867.0,abt,68.83,51.94,21.015843429636526,1173.969971,4.613261652156313,16.402581777480215,outperform
